-4.4462 0 -5.15169 0 
-6.26732 7.86445 -7.34531 9.10672 
-6.23232 11.6744 -7.38325 13.7656 
-5.85282 11.4364 -6.99663 13.5788 
-5.78199 11.0642 -7.00061 13.1887 
-5.94332 11.1033 -7.30909 13.374 
-5.86991 10.9364 -7.36454 13.3882 
-5.94327 11.0573 -7.4932 13.8011 
-5.78295 10.7661 -7.35918 13.5617 
-5.81892 10.7737 -7.45352 13.6864 
-5.85747 10.8712 -7.58888 13.9034 
-5.78619 10.7424 -7.57216 13.8723 
-5.74235 10.631 -7.57203 13.8622 
-5.68064 10.5774 -7.581 13.8856 
-5.65699 10.4822 -7.56841 13.8921 
-5.57117 10.3979 -7.51846 13.8322 
-5.56266 10.3009 -7.5179 13.8057 
-5.62011 10.2867 -7.49515 13.8348 
-5.73412 10.3817 -7.50586 13.8479 
-5.7665 10.5068 -7.39434 13.8039 
-5.80978 10.5917 -7.31608 13.6627 
-5.85002 10.6413 -7.17392 13.4991 
-5.8884 10.6654 -7.10432 13.2398 
-5.93729 10.7169 -7.03826 13.0897 
-5.99228 10.8163 -6.95457 13.0023 
-6.02839 10.9408 -6.99422 12.926 
-6.16796 11.0219 -7.00964 12.9702 
-6.19416 11.2434 -7.05139 13.0147 
-6.23037 11.3345 -6.96491 13.0679 
-6.26298 11.3677 -6.89276 12.9159 
-6.33475 11.4235 -6.79112 12.7779 
-6.30618 11.5156 -6.71284 12.5973 
-6.19872 11.5059 -6.66281 12.4442 
-6.1606 11.4019 -6.64885 12.3739 
-6.34933 11.568 -6.79298 12.5929 
-6.42054 11.6296 -6.79336 12.5774 
-6.3723 11.513 -6.59928 12.3146 
-6.45413 11.6479 -6.55539 12.2333 
-6.50988 11.7865 -6.50567 12.1721 
-6.56993 11.944 -6.49698 12.1574 
-6.54832 12.0487 -6.45094 12.1347 
-6.53632 11.9784 -6.391 12.0025 
-6.54312 11.9788 -6.39733 11.9147 
-6.52236 11.9908 -6.46597 11.9043 
-6.52156 11.9614 -6.52984 11.9814 
-6.54004 12.0043 -6.64754 12.1153 
-6.47947 11.9648 -6.70971 12.2319 
-6.40168 11.8814 -6.7291 12.3371 
-6.41372 11.8267 -6.80365 12.4451 
-6.3954 11.8468 -6.86812 12.5666 
-6.35511 11.7796 -6.88173 12.6219 
-6.33272 11.6205 -6.78282 12.5574 
-6.33974 11.5776 -6.6683 12.4438 
-6.39213 11.6166 -6.60717 12.3172 
-6.49971 11.7378 -6.59119 12.2604 
-6.607 11.9102 -6.54327 12.247 
-6.68489 12.0855 -6.4928 12.1803 
-6.72606 12.2457 -6.45274 12.1225 
-6.71031 12.2727 -6.41515 11.9969 
-6.69553 12.3207 -6.40363 11.9733 
-6.59826 12.2555 -6.34508 11.8899 
-6.54325 12.121 -6.29649 11.7963 
