0.041 0.03 0.03 0.031 0.031 0.03 0.031 0.031 0.03 0.031 0.03 0.031 0.031 0.03 0.03 0.03 0.03 0.03 0.031 0.03 0.031 0.03 0.035 0.03 0.03 0.03 0.03 0.03 0.032 0.03 0.03 0.029 0.03 0.03 0.03 0.031 0.03 0.03 0.031 0.029 0.031 0.03 0.031 0.031 0.03 0.031 0.031 0.03 0.029 0.03 0.03 0.03 0.03 0.031 0.03 0.03 0.031 0.031 0.03 0.031 0.03 0.03 0.031 0.03 0.031 0.031 0.031 0.031 0.031 0.03 0.03 0.03 0.03 0.031 0.031 0.032 0.032 0.03 0.03 0.03 0.03 0.031 0.03 0.03 0.03 0.031 0.032 0.031 0.03 0.03 0.031 0.03 0.031 0.031 0.03 0.03 0.031 0.03 0.031 0.03 0.031 0.03 0.031 0.032 0.03 0.03 0.03 0.031 0.03 0.03 0.03 0.03 0.03 0.031 0.031 0.032 0.03 0.031 0.03 0.03 0.03 0.031 0.03 0.031 0.031 0.03 0.03 0.031 0.03 0.03 0.032 0.031 0.03 0.03 0.032 0.031 0.03 0.032 0.031 0.03 0.031 0.031 0.031 0.03 0.03 0.031 0.031 0.03 0.031 0.03 
0.097 0.09 0.096 0.089 0.092 0.089 0.09 0.092 0.09 0.09 0.09 0.09 0.124 0.093 0.091 0.089 0.09 0.09 0.09 0.092 0.095 0.089 0.09 0.09 0.088 0.095 0.09 0.092 0.093 0.09 0.092 0.089 0.089 0.09 0.092 0.09 0.089 0.095 0.092 0.092 0.092 0.093 0.093 0.092 0.093 0.096 0.091 0.095 0.089 0.089 0.093 0.094 0.091 0.093 0.092 0.092 0.09 0.092 0.092 0.092 0.094 0.092 0.09 0.093 0.092 0.091 0.092 0.089 0.093 0.092 0.092 0.091 0.093 0.091 0.098 0.092 0.093 0.092 0.106 0.093 0.097 0.092 0.092 0.092 0.091 0.092 0.093 0.093 0.093 0.092 0.093 0.092 0.093 0.092 0.092 0.108 0.093 0.089 0.142 0.142 0.142 0.142 0.142 0.143 0.09 0.091 0.092 0.091 0.093 0.091 0.092 0.093 0.092 0.091 0.091 0.093 0.091 0.091 0.092 0.093 0.093 0.09 0.094 0.091 0.092 0.096 0.091 0.092 0.092 0.092 0.092 0.092 0.092 0.094 0.096 0.092 0.094 0.092 0.092 0.092 0.092 0.092 0.091 0.094 0.092 0.093 0.093 0.092 0.092 0.092 
0.155 0.154 0.153 0.153 0.157 0.153 0.151 0.153 0.152 0.153 0.152 0.155 0.157 0.158 0.167 0.155 0.195 0.154 0.161 0.153 0.153 0.181 0.158 0.157 0.153 0.154 0.153 0.152 0.154 0.155 0.155 0.161 0.153 0.152 0.151 0.157 0.151 0.152 0.156 0.154 0.154 0.163 0.159 0.157 0.156 0.153 0.152 0.149 0.153 0.152 0.153 0.154 0.159 0.154 0.153 0.152 0.155 0.164 0.149 0.159 0.162 0.171 0.15 0.158 0.152 0.151 0.155 0.149 0.149 0.15 0.151 0.15 0.15 0.153 0.152 0.155 0.154 0.155 0.155 0.159 0.159 0.152 0.152 0.162 0.151 0.148 0.152 0.153 0.149 0.158 0.161 0.154 0.231 0.232 0.237 0.233 0.142 0.149 0.151 0.156 0.162 0.149 0.149 0.149 0.149 0.156 0.157 0.149 0.149 0.149 0.149 0.15 0.152 0.152 0.148 0.149 0.165 0.154 0.154 0.148 0.148 0.149 0.149 0.153 0.153 0.151 0.148 0.149 0.154 0.153 0.153 0.149 0.148 0.148 0.163 0.15 0.146 0.149 0.149 0.145 0.151 0.145 0.153 0.158 0.152 0.15 0.149 0.149 0.149 0.149 
0.227 0.203 0.213 0.209 0.208 0.208 0.208 0.222 0.215 0.21 0.222 0.213 0.21 0.21 0.216 0.216 0.216 0.216 0.222 0.212 0.209 0.21 0.215 0.21 0.209 0.216 0.21 0.203 0.208 0.208 0.215 0.212 0.208 0.213 0.228 0.211 0.21 0.209 0.208 0.216 0.209 0.212 0.217 0.208 0.21 0.21 0.228 0.208 0.208 0.214 0.209 0.211 0.324 0.326 0.326 0.204 0.204 0.204 0.22 0.209 0.208 0.21 0.217 0.213 0.209 0.203 0.212 0.211 0.216 0.203 0.209 0.209 0.209 0.208 0.208 0.21 0.212 0.214 0.209 0.209 0.21 0.21 0.208 0.216 0.211 0.206 0.21 0.203 0.208 0.209 0.209 0.208 0.209 0.208 0.21 0.21 0.208 0.208 0.208 0.228 0.209 0.208 0.213 0.208 0.216 0.211 0.212 0.216 0.212 0.211 0.211 0.237 0.211 0.213 0.214 0.208 0.203 0.208 0.214 0.209 0.209 0.208 0.21 0.21 0.209 0.204 0.208 0.209 0.209 0.208 0.208 0.215 0.21 0.214 0.209 0.208 0.222 0.218 0.214 0.208 0.214 0.214 0.216 0.208 0.208 0.209 0.21 0.209 0.209 0.324 
0.427 0.427 0.266 0.271 0.275 0.268 0.27 0.268 0.269 0.267 0.27 0.269 0.267 0.267 0.271 0.27 0.269 0.267 0.269 0.279 0.268 0.263 0.311 0.283 0.276 0.277 0.283 0.273 0.272 0.277 0.275 0.275 0.273 0.275 0.274 0.273 0.274 0.275 0.273 0.273 0.278 0.275 0.276 0.273 0.28 0.283 0.274 0.303 0.275 0.275 0.27 0.281 0.287 0.278 0.267 0.276 0.28 0.284 0.293 0.279 0.274 0.274 0.274 0.277 0.271 0.275 0.278 0.275 0.29 0.267 0.275 0.282 0.283 0.274 0.277 0.278 0.278 0.426 0.421 0.262 0.281 0.274 0.279 0.273 0.283 0.283 0.276 0.293 0.287 0.275 0.273 0.284 0.277 0.268 0.275 0.266 0.276 0.263 0.282 0.273 0.27 0.293 0.272 0.273 0.278 0.283 0.281 0.262 0.261 0.267 0.273 0.27 0.277 0.273 0.271 0.295 0.275 0.274 0.27 0.278 0.273 0.294 0.28 0.28 0.294 0.278 0.27 0.272 0.267 0.296 0.27 0.269 0.269 0.264 0.272 0.267 0.261 0.272 0.269 0.282 0.273 0.272 0.276 0.269 0.27 0.285 0.264 0.268 0.267 0.27 
0.421 0.42 0.431 0.408 0.418 0.427 0.424 0.661 0.659 0.414 0.421 0.412 0.43 0.429 0.438 0.421 0.42 0.441 0.425 0.431 0.423 0.422 0.415 0.413 0.416 0.435 0.424 0.413 0.441 0.425 0.44 0.411 0.432 0.443 0.427 0.419 0.423 0.421 0.418 0.423 0.424 0.431 0.429 0.421 0.425 0.428 0.408 0.428 0.423 0.417 0.413 0.43 0.426 0.42 0.42 0.422 0.424 0.422 0.424 0.419 0.427 0.653 0.417 0.421 0.425 0.431 0.424 0.426 0.429 0.424 0.427 0.419 0.441 0.432 0.423 0.42 0.421 0.421 0.432 0.43 0.443 0.42 0.422 0.429 0.417 0.429 0.432 0.434 0.427 0.445 0.428 0.43 0.442 0.416 0.427 0.425 0.422 0.418 0.424 0.417 0.424 0.428 0.422 0.425 0.409 0.422 0.424 0.417 0.423 0.425 0.423 0.43 0.426 0.424 0.423 0.429 0.426 0.658 0.659 0.43 0.423 0.419 0.442 0.42 0.421 0.424 0.42 0.429 0.427 0.419 0.428 0.44 0.428 0.434 0.451 0.429 0.424 0.452 0.437 0.428 0.432 0.426 0.438 0.439 0.423 0.41 0.436 0.425 0.423 0.42 
